SampleID,Factor,Replicate,Peaks,bamReads
ENCFF662DYG (HSC),HSC,1,ATAC_seq/data/input_data/hsc/ENCFF662DYG.bed,ATAC_seq/data/input_data/hsc/ENCFF250YAL.bam
ENCFF255IVU (HSC),HSC,2,ATAC_seq/data/input_data/hsc/ENCFF255IVU.bed,ATAC_seq/data/input_data/hsc/ENCFF958EPJ.bam
ENCFF832UUS (CMP),CMP,1,ATAC_seq/data/input_data/cmp/ENCFF832UUS.bed,ATAC_seq/data/input_data/cmp/ENCFF711QAL.bam
ENCFF343PTQ (CMP),CMP,2,ATAC_seq/data/input_data/cmp/ENCFF343PTQ.bed,ATAC_seq/data/input_data/cmp/ENCFF620WGW.bam
ENCFF796ZSB (CFUE),CFUE,1,ATAC_seq/data/input_data/cfue/ENCFF796ZSB.bed,ATAC_seq/data/input_data/cfue/ENCFF909QFQ.bam
ENCFF599ZDJ (CFUE),CFUE,2,ATAC_seq/data/input_data/cfue/ENCFF599ZDJ.bed,ATAC_seq/data/input_data/cfue/ENCFF780SSI.bam
ENCFF181AMY (ERY),ERY,1,ATAC_seq/data/input_data/ery/ENCFF181AMY.bed,ATAC_seq/data/input_data/ery/ENCFF199ZJX.bam
ENCFF616EWK (ERY),ERY,2,ATAC_seq/data/input_data/ery/ENCFF616EWK.bed,ATAC_seq/data/input_data/ery/ENCFF535OJU.bam
